Original,Translation
ingombe isatha inyala hukhukhonya hulima ingombe yosi inyala hukhurerera imboleya,ngombe ndume anaweza akakusaidia kulima ngombe pia anaweza akakuletea mbolea
imboleya eyo notsukha mundalo mana orake madimwa kamera bulayi,mbolea hio ukimwaga katika shamba kisha upande mahindi yanastawi vizuri
aumao uria wajama ingombe ngaa esie,hakuna yule anyependa ngombe kama mimi
etsikukurhe tsia corona,janga la korona
mwika kwene kwa elfu ntsibili nende likhumi lahlah nende tisa sikukune tsia korona sialilika musialo tsia china,mwaka wa elfu mbili na kumi na tisa janga la korona lilianzia kule nchini china
bandu babukulira huba mubayo khulwasiola msialo siefwe tsia kenya,watu waliuchukulia kuwa mzaha ulipofika katika nchi yetu ya kenya
serikali ya kenya nitangasia bandu bekhale khulondokhana nende bulwaye obo khulwakhubera bwali bulwaye bubi,serikali ya kenya ilitangazia watu wajilinde kutokana na huo ugonjwa kwa maana ulikuwa mgonjwa mbaya
etsikukurhe tsia korona tsiaghamira bandu khufungira ba khulama khukenda thimbeka tsindi tsiasialo nende kata bikuli nende biro biosi biafungwa,janga la korona lilitea watu gharama kama vile kufungiwa kanisa kutembea sehemu zingine za dunia pia shule na soko zilifungwa
bandu ba nairobi bafungirwa nende khukanisibua balakalugha mrisafu,watu wa nairobi walifungiwa na kukatazwa wasirudi mashambani
korona yaghama mafua mangi nende khukhola bandu khuba barekhwa nende betsa babwe khata bwera badu bakhongokhongo muno,korona ilileta maafa mengi ikifanya watu wakawa wafiwa hata iliua watu wakubwa sana
nobwore mwami wefwe papa sirandula muya mkhongo wa khukasia tsividio tsindai muno khurala funyula mwaalo poti ei,huo ugonjwa ndio ulimuua papa sirandula mtu mwenye hadhi kubwa kwa kazi ya vinema kutoka huko funyula ziwa poti
ingombe nende imbusi,ngombe na mbuzi
ingombe nende imbusi ni biruke bia mudala inyanga ndala tsingombe tsiatsa khuaya ni tsimbusi tsiadonga mudala tsimbusi tsiatsaka khuana nitsiinya khuria lakini omundu khasiyariio owa khuaya tsingombe nga tsiamala khuaya ni tsimbusi tsiurera khalano khuari khukorirwe mbari tsimbusi tsiari nende obukora bundi awendio tsimbusi tsiakhalaka mukoye ni tsiekisa,ngombe na mbuzi ni mifugo wa nyumbani siku moja ngombe walienda kuchunga na mbuzi wakabaki nyumbani walianza kulia wakitaka kula lakini mtu hakuwepo wa kuwachunga ngombe walipomaliza kuchunga na mbuzi wakanyamaza hivyo basi hatukuwa tumejua kuwa mbuzi walikuwa na ujanja mwingine hapo mbuzi walikata kamba wakajificha
abaana ba tsimbusia batsia nibatsaaka khununa tsingombekhuatsa nikhutsaka khukhera nikhukororue mbari ni sina esikera ingombe niirarusia amabeere,kimemekibuli wakaanza kunyonya ngombe tulienda tukaanza kukama hatukuwa tumejua ni nini kimemsababisha ngombe asitoe maziwa
khulula ao bene tsimbusi bamanya mbari nakhoere batsiririe mani nibatsaka khutsiira musiairotsimbusi tiatsaka khumenya tsiongane nende tsingombe tsiosi tsiongane kata kario tsimbusi nende tsingombe tsiaba tsajamana lukari bulayi bwa ingombe ni mbari iruberesianga amabeere eriseero nende inyama imbusi yoosi iruberesianga inyama amabeere nende risero ria khukaasirianga mishipi bilaro nende tsingoma miruko ekio kiosi ni milayi khu efwe bandu boosi,kutoka hapo wenye mbuzi walijua kwamba wanastahili kuwapelekea maji malishoni mbuzi wakaanza kuishi na ngombe wakawa wanapendana sana uzuri wa ngombe ni kuwa hutupa maziwa na ngozi na nyama mbuzi pia hutupa nyama maziwa na ngozi ambayo huwa tunatengenezea mishipi viatu na ngoma mifugo hao wote ni wazuri kwa sisi wat wote
liseero nooba nende tsingombe tsinyingi oli nende mapesa masabi khandi tsingombe tsino tsirukhonyanga khurima tsindalo tsiefu nori nende tsindalo tsikhongo irakho sa ijoki niweerakho khutsirimia,ngozi ukiwa na ngombe wengi unapesa mingi tena ngombe hawa hutusaidia kulima mashamba yetu ukiwa na mashamba makubwa unaweka fao na unawaweka kulima
abaandu baruke tsingombe tsisaabi khubera tsingombe tsiri nende bulayi bukhongo ndajama tsingombe,watu wafuge ngombe wengi kwa sababu ngombe wana umuhimu kubwa napenda ngombe
esie mumera nangwa ezel atieno,mimi kwa majina naitwa ezel atieno
nyenya huchaka nende imbakha ya kharehare kuka yange yahubiranga imbakha vile varithingi vadidi,nataka kuanza na hadithi ya hapo awali babu yangu alikuwa akinihadithia jinsi walipokuwa wadogo
ari varichingi nende vuloko,ati kulikuwa na uchawi
mama waye yavasairanga vurinyanga ithuri nende ingolove,mama yake alikuwa akiwaombea kila siku asubuhi na jioni
were avavere hukosi kavaholanga,mungu awarehemu kwa yote waliyoyafanya
vaahubiranga imbaha nasi nzekha huvureranga ithuri yariyula ati esie nyumiye huvera vaanganiyenge hutheha nasi nyumire murwe,nilikuwa nahadithiwa nami nacheka kunyamaza hivi asubuhi tayari ilikuwa inafika na nilikuwa nimezirai kwa sababu nilikuwa nakatazwa kucheka sana na nikawa kichwa ngumu
vaangova msivitali vaangurira misala kio humira ndaona ndi mulamu,nilipelekwa hospitalini nikanunuliwa dawa ya kumeza nikapona ni mzima
mukutano kwe ikanisa kwetha mdala sidere,mkutano wa kanisa uliwekwa ntumbani mchana
vandu vari vangi huvira kiasi sia inyumba yefu,watu walikuwa wengi kupita kiasi cha nyumba yetu
inyumba yefu ni ihongo lakini vandu vechula vandi vaadonga vehala ruanyi we inyumba,nyumba yetu ni kubwa lakini watu walijaa wengine wakabaki na kukaa nje
ikanisa yari iimire vandu vaasoma thisala thia were khakava,kanisa ilikuwa ya kufurahisha watu walisoma sala za mungu mpeanaji
lano bari bahamala ni bandu bavwao wavu,walipomaliza watu wakaenda kwao
nano esie nende mwana wefu efwe huebulwa sa baviri haandi ni bahana baviri,sasa mimi na dadangu sisi tulizaliwa tu wawili tena ni jinsia ya kike tu
mama wange ni mfofoyo yaani mumarachi kamili yamanya lumarachi,mamangu ni nafoyo yaani mumarachi kamili anajua kimarachi
esie nde mukhana wefu huekanga lumarachi huakorwa lumarachi sana,mimi na dadangu hujifunza kimarachi hatujui kimarachi sana
ingombe,ngombe
ingombe ni sindu siri nende malayi masabi khu muundu ingombe iri nende bulayi nende bumaanu buayo mudala ingombe bandu baijama lukari sakira bairukanga mudala,ngombe ni kitu kilicho na uzuri mwingi kwa mtu ngombe ako na uzuri na ubaya wake nyumbani ngombe watu wanampenda sana ndio maana wanamfuga nyumbani
ingombe iri nende tsifaida tsisabi muno nikhutsaka nende ingombe irugamiranga mabeere mabeere kano khukusianga nikhunyola amapesa,ngombe anafaida nyingi sana tukianza na ngombe hutuletea maziwa maziwa haya tunauza na kupata pesa
khandi ingombe irugamiranga masingo masingo khubusianga khalala ni khukasia imbolera eya khurakira nikhurakira masingo ako madimwa kefu kakhola bilayi bia makana,tena ngombe hutuletea zamadi tunasanya pamoja kutengeneza mbolea ambayo tunapandia tukipandia zamadi hayo mahindi yetu yanafanya vizuri sana
khuluange basaba muruke tsingombe khubera tsiri nende tsifaida tsisabi tsia makana,ngombe mwenyewe akiuzwa na tunapata pesa ya kununua vitu kwa boma upande wangu nawaomba mufuge ngombe kwa sababu wako na faida sana
simuna nende kukhu,kidiri na nyanya
simuna ni isolo imenyanga musino bandu bangi basijama khulukhubera sibetsanga nisianula,kidiri ni mnyama anayeishi msituni watu wengi wanampenda kwa sababu huwa tamu
khare khare khuario nende simuna nende kukhu kukhu yari niyajama simuna simuna yari mukesi khushira kukhungene kalano yari inyaga ya khuraka madimwa kukhu yari nende indalo ingerekha kukhu yari yeenya khutsia khuraka ingerekha lakini kwari nende mwalo mukhongo,zamani za kale paliondokea kidiri na nyanya nyanya alikuwa anampenda kidiri kidiri alikuwa mwerevu kumliko nyanya yake sasa ilikuwa siku ya kupanda mahindi nyanya alikuwa na shamba ngambonyanya alikuwa anataka kwenda kupanda ngambo lakini kulikuwa na mto mkubwa
kharano kukhu yatsia khuborera simuna batsie khusiiro bakule tsinjugu nga babakhusiro kukhu yasia khukula tsinjugu nende riani nende tsimbegu tsia misala,sasa nyanya alienda kumwambia kidiri waende sokoni wnunue njugu walipokuwa sokoni nyanya alienda kununua njugu mboga na mbegu ya miti
yari yakhoola tsinyanga tsia khuraka tsinjugu simuna siaborera kukhu mbari niwiinya tsinjugu etsio tsimere bilayi bukula tsinjugu etsio okarange alafu obukule matsi orokosie oreemo majani nende isukari,ilipowadia siku za kupanda njugu kidiri alimwambia nyanya kuwa ukitaka njugu hizo zimee vizuri chukua njugu hizo ukaange kisha uchukue maji utokoshe uwekemo majani na sukari
kukhu ngayamala yamuveresia simuna tsinjugu atsie arake simuna siabukula tsinguju nende ichai naachake tsimbiro khutsia mundalo kumbe simuna siatsia khunina musaala mukhongo nisitsaka khuria tsinjugu simuuna siaria tsinjugu mpaka tsiamala,nyanya alipomaliza alimpea kidiri njugu aende apande kidiri alichukua njugu na chai akaanza mbio kwenda shambani kumbe kidiri alienda kupanda mti mkubwa akaanza kula njugukidiri alikula njugu hadi akamaliza
ssimuuna siakalukha mudala niyeebakhire riloba yakadia kukhu mbari amarire khuraka,kidiri alirudi nyumbani akiwa amejipaka udongo alidanganya nyanya kuwa amemaliza kupanda
inyanga ya baangwakho,siku niliyotekwa nyara
ndabukha itsuli nende mapema khutsia msikuli,niliamka asubuhi na mapema kuelekea shuleni
ndakutana nde bandu bangi sana khumwanda,nilikutana na watu wengi kwa barabara
ndakumbuka makhuwa ka mama yambolera mbu mwana wange ulaunanga da msikuli itsuli sana da,niliyakumbuka maneno ya mama yangu mzazi aliyoniambia mwanangu usiwe unarauka kuenda shule asubuhi sana
