Original,Translation
ehudi se akikhweesa yarura muunda mwo mwami tawe,ehudi hakuifuruta ikatoka kwa tumbo ya mfalme
nio ehudi arura mu lusiro acha anje ekala kimiliango akikhomekha mala babona kimiliango kimikhomekhe ne bebasia busa bali omwami ali mukari alikho eyeeta,ndipo ehudi akatoka kwa chumba cha ndani akaenda nje akaufunga milango akakomea kisha wakaona milango imekomelewa na wakadhania tu kuwa mfalme yuko ndani akiwa anajisaidia
baloonda siise sileeyi mala nga ne akhekula kimiliango tawe babukula lufunguo mala bakwikula,wakasubiri muda mrefu kisha wakati hakufungua milango walichukua ufunguo kisha wakaufungua
ne abwenao banyoola omwami wabwe akwile amukhe afwile,na hapo walipata mfalme wao ameanguka sebuluni amekufa
nga baba ne basiliindilila ehudi elukha,wakati walikuwa wakigonjea ehudi akatoroka
acha abirira emabaale kamebeche mala elukhila e siera,akaenda akapitia kwa mawe yaliyochongwa kisha akatorokea seira
nga ne olayo mu ngulu cha efuraimu apa ekhoombi khulaanga baisiraeli bache mwiienio abarangirira bekha khukhwama khu bikulu,wakati alifika kwa vilima vya efuraimu akapiga mbiu kuwaita waisraeli waje vitani ndipo akawatangulia wakashuka kutoka kwa vilima
aloma ali nondekho wele omunyali owa bioosi amuelee bukhili khu basiku benywe bamoabu,alisema kuwa nifuateni mungu mweza wa vyote amempa ushindi kwa adui wenu wamoabu
nio baloonda khu ehudi bekha mala baamba kamafubukho niko bamoabu baba bacha khwambukhilamo yoritani,ndipo walifuata kwa ehudi wakashuka kisha wakashika vivuli ambavyo wamoabu walikuwa wameenda kuvukia yordani
se bafukiilila omundu akhaba mulala yengene ambukhe tawe,hawakukubali mtu hata mmoja pekee avuke
endaalo eyo beera ambi chielefu ekhumi che banamae bakali lukali be bamoabu,siku hiyo waliua karibu elfu kumi ya majeshi wengi sana wa wamoabu
se aliio owelukha aona tawe,hakuna aliyetoroka akapona
endaalo eyo baisiraeli baula bamoabu mala kumulembe kwaba mu sibala khulwe kimiiko kamakhumi munaane,siku hiyo waisraeli waliteka wamoabu kisha amani ikawa kwa dunia kwa miaka kumi na minane
mu kholo cha nafutali ne sebuluni mala banamae ba sisera boosi berwa se obayile khu sikulu sia tabori,kwa ukoo za nafutali na sebuluni kisha majeshi ya sisera wote wakauawa si uwapeleke kwa mlima wa tabori
ndareera sisera omukhulu we banamae ba tabini akhupane ne nawe a luuchi lwa kishoni,nitaleta sisera mkuu wa majeshi ya tabini qpigane na wewe kwa mto wa kishoni
alaba ne kamaakari ke liie ne banamae ese ndakhukhola omuule,alakuwa na magari ya vita na majeshi nami nitakufanya umpige
nio baraka akobosia ali ndacha ewe waaba ne olacha alala ne nase ne waaba ne okhaacha ne nase tawe sesi se ndacha tawe,ndipo baraka akajibu kuwa nitaenda iwapo wewe utaenda pamoja nami na iwapo hutaenda na mimi nami sitaenda
debora amukoboosia ali bulayi ndacha ne nawe ne ewe se olanyoola efuma khulwe khuula tawe sikila wele omunyali owa bioosi alaana sisera khu mukhasi,debora akamjibu kuwa vizuri nitaenda nawe na wewe hutapata kusifiwa kwa kuwapiga lwa sababu mungu mweza wa vyote atapeana sisera kea mke
nio debora arura acha keteshi alala na baraka,ndipo debora akaenda keteshi pamoja na baraka
baraka alanga chikholo cha sebuluni ne nafutali chiche e keteshi mala babaandu chielefu likhumi bamuloondakho,baraka akaita ukoo wa sebuluni na nafutali waje keteshi kisha watu elfu kumi wakamfuata
debora acha ne naye,debora akaenda na yeye
mu siise esio heberi omukenayi aaba ombakha liiema liewe e keteshi siimbi amuruba a saananimu,kwa muda huo heberi wakenayi alikuwa amejenga hema lake keteshi karibu mwaloni wa saananimu
aba auuya acha aleeyi khukhwama khu bakenayi babaandu be lisaaye lia hobabu mukhwewe owa musa,alikuwa amehamia kutoka kwa wakenayi watu wa uzao wa hobabu mkwe wa musa
sisera amanya ali baraka aba aniinile khu sikulu sia tabori,sisera alijua kuwa baraka alikuwa amepanda kwa mlimawa tabori
nio alanga bamureerere kamaakari kewe ke bichuuma chimia tisa ne babaandu bewe boosi,ndipo akaita wamletee magari yake ya vichuma mia tisa ba watu wake wote
nio abaruma khukhwama e haroshetihakoimu bache khu luuchi lwa kishoni,ndipo akawatuma kutoka haroshetihakoimu waende kwa mto wa kishoni
nio debora aboolela baraka ali cha wele omunyali owa bioosi alikho akhurangirira ewe,ndipo debora akamwambia baraka kuwa enda mungu mweza wa vyote anakutangulia wewe
endaalo yino olaula sisera,siku hii utateka sisera
nono baraka arekukha ekha khukhwama khu sikulu sia tabora ne babaandu bewe chielefu likhumi,sasa baraka akaondoka kushuka kutoka kea mlima wa tabora na watu wake elefu kumi
nga baraka ne banamae bewe ne bebwaakala wele omunyali owa bioosi akoyaania sisera ne babaandu bewe be kamakara ke mwiie,wakati baraka na majeshi yakena kuwavamia  mungu mweza wa vyote akamchanganya sisera watu wake wa magari ya vitani
sisera ekha arura mu likaari liewe mala atima ne bikele elukha,sisera akashuka akatoka kwa gari lake kisha akakimbia kea miguu akatoroka
baraka atimania kamaakari ne banamae khukhwola haroshetihakoimu mala banamae ba siseera boosi berwa se aliio omundu owarama tawe,baraka aliyafukuza magari na majeshi kufika haroshetihakoimu kisha majeshi ya sisera wote wakauawa na hakuna mtu aliyebaki
sisera elukha acha engila mu liiema lia yaeli,sisera alitoroka akaenda akaingia kwa hema la yaeli
yaeli aba mukha heberi omukenayi,yaeli alikuwa mke wa heberi wakenayi
sisera engila mu liiema lia yaeli sikila omwami yabini owa hasori aba ne kumulembe nende be enju eya heberi,sisera akaingia kwa hema la yaeli kwa sababu mfalme yabini wa hasori alikuwa na amani na wa nyumba ya heberi
yaeli arura acha akaanila sisera mala amubolela ali omwami yiicha mu liiema liase okharia tawe,yaeli akatoka akaenda akamkutanisha sisera kisha akamwambia mfalme njoo kwa hema yangu usiogope
nio echa engila mala yaeli amubiimba liruungeti,ndipo akaingia kisha akamfunika blanketi
sisera aboolela yaeli ali ndikho mbulila bulesia noosima mbekho kameechi enywe,sisera akamwambia yaeli kuwa ninahisi kiu ukipenda nipe maji ninywe
yaeli afunula eoochwa eye lisieelo eye kamabele amua anywa mala amufuunikha lundi,yaeli akafunua chupa ya ngozi ya maziwa akampa akanywa kisha akamfunika tena
nono sisera amubolela ali yiima amuliango kwa liiema ne omundu yesi yesi ne echa ne akhureeba ali naanu ali muno muboolele oli mundumo tawe,sasa sisera akamwambia kuwa simama kwa mlango na mtu yeyote akija na kukuuliza kuwa nani yuko humu mwambie kuwa jamna mtu
sisera aba aluile lukali liilo liamuamba,sisera alikuwa amechoka sana usingizi ukamshika
nio yaeli abukula enyundo ne sichangi sie liiema amuchao mala amwiira khulwe khumukhoma sichangi,ndipo yaeli akachukua nyundo na kikingi ya hema akamwendea kisha akamuua lwa kumugonga kikingi
akhoma siabira mu sianga siengila mwiloba,akagonga ikapita kwa fuvu ikaingia kwa mchanga
nga baraka ne echa ne alikho ayiima sisera yaeli arura acha amwakanilamala amubolela ali yiicha ano ndakhwekesia omundu niye olikha oyiima,wakati baraka alienda kumtafuta sisera yaeli alifika akaenda kumkutanisha kisha akamwambia kuwa njoo hapa nitakuonyesha mtu ambaye unatafuta
nio baraka engila mwiema anyoola sisera afwile,ndipo baraka akaingia kwa hema akapata sisera amekufa
sichangi sie liiema siaba siabirire mu murwe kwewe,kikingi cha hema kilicho kuwa kimepitakwa kichwa chale
endaalo eyo wele aelesia baisiraeli bukhili khu yabini omwami owe bakanaani,siku hiyo mungu aliwapa waisraeli ushindi kwa yabini mfalme wa wakanaani
baisiraeli bachiililila khuloondesia yabiniomwami owa kanaani khukhwola nga bamubunia,waisraeli walifululiza kumfuatia yabini mfalme wa kanaani kufika wakati walimsifia
nio debora ne baraka okhwa abinoamu bemba kumwenya khu ndaalo eyo bali babemeelesi barangirira babaandu mu israeli nio babaandu beaana babeene,ndipo debora na baraka wa abinoamu wakaimba nyimbo kwa siku hiyo kuwa wasimamizi waliwatangulia watu wa israeli na watu wakajitoa wenyewe
wele omunyali owa bioosi afume,mungu mweza wa vyote atukuzwe
ee baami rekeeresia ee bakhulu khu wele omunyali owa bioosi ndemba ndemba kumwenya khu wele omunyali owa bioosi wele owa baisiraeli,ee wafalme sikiliza ee wakuu kwa mungu mweza wa vyote nitaimba nitaimba wimbo kwa mungu mweza wa vyote mungu wa waisraeli
wele omunyali owa bioosi nga ne waama mu bikulu bie seiri nge ne waama mu sibala sia edomu lukoba liaterema mala efula yakwa yee kamafuumbi kachukha kameechi,mungu mweza wa vyote wakati alitoka kwa vilima vya seiri wakati alitoka kwa nchi ya edomu mji ukatetemeka kisha mvua ikanyesha mawimbi yakamwaga maji
bikulu biaterema ebweeni wa wele omunyali owa bioosi niye wele omunyali owa sinai wele owe baisiraeli,vilima vikatetemeka mbele ya mungu mweza wa vyote aliye mungu mweza wa sinai mungu wa waisraeli
mu ndaalo cha siamukari okhwa anati mu ndaalo cha yaeli kimiila kiawa ne bakeendi batalaandilanga khu ngila che khu ndulo,kwa siku za siamukari wa anati kwa siku za yaeli njia zikaisha na wasafiri wakapitiakwa njiaza kando
bukhili bwawa bwawa mu israeli khukhwola nga debora ne wema wema nga maayi owe baisiraeli,ushindi ukaisha ukaisha kwa waisraeli kufikia wakati debora alisimama alisimama kama mama wa waisraeli
nga ne barobora bawele bayia liie liaba mu bilibwa,wakati waliwateua miungu wapya vita vikawa kea malango
engabo namwe lifumo biabonekhakho mu baandu chielefu arubaini mu israeli,ngao ama mkuki vikaonekana kwa watu elfu arubaini wa israeli
kumwoyo kwase kuli alala ne banamae bakhulu ba baisiraeli babeana babeene khukhwama mu baandu,moyo wangu upo pamoja na majeshi wakuu wa israeli wakiokota wenyewe kutoka kwa watu
wele omunyali owa bioosi afume,mungu mweza wa vyote atukuzwe
kaboole enywe mukeendelea khu punda chiwaanga enywe mumwikhalila kamasisinwa kamalayi ne nanywe mubira khu ngila,yaseme nyinyi mnaotembelea kwa punda nyeupe nyinyi manaokalia mazulia mazuri na nyinyi mpitao kwa njia
rekeeresia kumumilo kwe babaandu balikho beemba a sebele che kameechi abwenao baboola bikholwa bie bukhuli bwa wele omunyali owa bioosi bukhili bwe baisiraeli,sikiliza sauti za watu ambao wanaimba kwa visima vya maji hapo walisema matendo ya ukuu wa mungu mweza wa vyote ushindi wa waisraeli
nio babaandu ba wele omunyali owa bioosi bakeendi boola khu bilibwa biabwe,ndipo watu wa mungu mweza wa vyote wakatembea wakafika kwa malango yao
yinyokha yinyokha debora,amka amka debora
yinyokha yiimba kumwenya yinyokha,amka uimbe wimbo amka
yinyokha baraka okhwa abinoamu yimeelela baambe be mwiie bowo,amka baraka wa abinoamu simamia washike wa vitani mwako
nio babalekhwa bekha becha khu baandu be efuma babaandu ba wele omunyali owa bioosi beekha bacha khwise baula babaandu ba efuma,ndipo walioachwa wakashuka wakaenda kwa watu wa utukufu watu wa mungu mweza wa vyote wakashuka wakaenda kwangu wakateka watu wa utukufu
becha khukhwama efuraimu bekha mu litooma enyuma we ekholo eya benjamini ne balebe bayo,wakaja kutoka efuraimu wakashuka kwa bonde baada ya ukoo wa benjamini na ukoo na familia yao
banamae bakhulu bakeenda bekha khukhwama e makiri ne basuti be siimbo yo mweleesi baama e sebuluni,majeshi makuu walitembea wakashuka kutoka makiri na wabebaji wa fimbo ya waamuzi wakatoka sebuluni
limanyisia,kujulisha
sitabu sino simanyikhaane khu lisina lie bakhalaki ne kakhali litinyiilisha lilimo lili khu makhuwa niko babemeelesi be babaandu bakhola,kitabu hiki kinajulikana kwa jina la waamuzi isipokuwa linasisitiza yaliyomo kwenye maneno ambayo wasimamizi wa watu walifanya
khu boola bungali bano se baba bakhalaki tawe,kusema ukweli hawa hawakuwa waamuzi
sifuno siboofu mu lulomo lwefwe bano baba babemeelesi be liie siise sie butinyu nende sie kumulembe,lengo kuu kwa lugha yetu hawa walikuwa wasimamizi wa vita wakati wa ugumu na wa amani
babemeleesi be chikholo bano becha e kanaani khukhwama siise nisio baisiraeli barakikhira khukhwaamiia sibala esio khukhwola siise nisio banyoolelamo omwami owe khunyoa  wakana kumwiiko kwe eleefu ndala ne chimia chibili nendeeleefu ndala,wasimamizi wa koo hizi walikucha kanaani kutoka wakati ambao waisraeli walianza kuhamia nchi hiyo kufika wakati wakati ambao walipata mfalme wa kwanza labda mwaka wa elfu moja na mia mbili na elfu moja
nono sitabu sikhebusia kamakhuwa niko babemeelesi bano bakhola mu biise bikabukhane ne abuundu akabukhaane mu sibala esio siise sie khurakikha buruki bwe bubwaami ne bukhabaao tawe ne kaakhaba kario tawebuli mundu akholanga nga enya lola,sasa kitabu hiki kinakumbusha maneno ambayo wasimamizi hawa walifanya kwa wakati tofauti na sehemu tofauti kwa nchi hiyo wakati wa kuanza uongozi wa ufalme ambao hujakuwepo na hata ivyo kila mtu alikuwa akifanya jinsi atakavyo
mu sitabu sino khuboolelwa khase na khase khuli khuchililila bulayi namwe khukhilwa khwe baisiraeli khuloondekhana ne busuubilwa bwabwe khu wele,kwa kitabu hiki tunaambiwa mara kwa mara kuhusu kuendelea vizuri ama kushindwa kwa waisraeli kufuatana na uaminifu wao kwa mungu
sileka khu wele siareera libuna ne kakhali basuubilwa ne khukhweyikina wele khureeranga chikhabi,kiburi kwa mungu huleta maangamizi na isipokuwa uaminifu na kumtegemea mungu huleta baraka
butinyu bubwanyoola baisiraeli bulalomwalomwa mu ngila endayi,shida iliyowapata waisraeli itazungumziwa kwa njia nzuri
baisiraeli bataamba busuubilwa khu wele ne wele naye abalekha bapwe ne basiku babwe,waisraeli walikosa kumwamini mungu na mungu akawaacha wapigwe na adui wao
balilila wele mala wele abayilila babemeelesi khu baonia,walimlilia mungukisha mungu akawapelekea wasimamizi kuwaponya
sitabu sisiene silimo bitonyi bitaru  kumuliango ano khuboolelwa kamakhuwa kakaandi khu sibala sia kanaani kakabukhaane nende niko khunyola musitabu sia yoshuakhuboolelwa lundi khuli bamenywa bakali ba kanaani enyuma we baisiraeli khutila sibala esio se beerwa tawe balekhwa sikila wele eenya khubarumikhira khukhwenya khu bakhaka baandu bewe aaba ngali ne banyalabarama basuubilwa khu niye,kitabu chenyewe kina migao mitatumlango hapa tunaambiwa maneno mengine kwa nchi ya kanaani inatofautiana na ambayo tunapata kwa kitabu cha yoshua tunaambiwa tena kuwa wananchi wengi wa kanaani baada ya israeli kushika nchi hiyo hawakuuawa waliachwa kwa sababu mungu alitaka kuwatumia kutaka kuwajaribu watu wake iwapo ukweli wanaweza baki waaminifu kwake
kumuliango kwa  abuundu ano niio enjeko eye sitabu sino,mlango wa   mahali hapa ndio nguzo ya kitabu hiki
ano khuli ne kamakhuwa kamaboofu khu bakhalaki baboofu nga otinieli ehudi shamgari debora baraka gidioni ne samusoni ne lundi khubakhalaki batiiti nga abimeleki dola yairi ibi siani eloni ne abutoni,hapa tuna maneno makubwa kwa waamuzi wakubwa kama othniel ehudi shamgari debora baraka gidioni yeftha na samuson na tena kwa waamuzi wadogo kama abimeleki tola yairi ivi shani eloni na abdoni
kumuliango kwa ano nao khuboolelwa nga kamakhuwa ne kaba kamabi siise esio siise nisio baisiraeli baba ne basili khunyoola omwami tawe,mlango wa  hapa napo tunaambiwa vile mambo yalivyokuwa mabaya wakati huo wakati ambao waisraeli walikuwa wangali kupata mfalme
ngali omuandiki eenya khu khwekesia bubwabukhani bwe siise esio ne siise sie bulayi ne buruki bwa daudi nende bwa solomoni,kweli mwandishi alitaka kutuonyesha utengano wa wakati huo na wakati mzuri wa uongozi wa daudi na solomoni
baisiraeli enyuma we lifwa lia yoshua mu sibala sie bikulu mu maayo mwe ebunafubo owa kanaani,waisraeli baada ya kufa kwa yoshua kwa nchi ya vilima kwenye bonde kaskazini mwa kanaani
bacha siraeli bareeba wele omunyali bengilila bakanaani babamenyanga mu lukoba lwa heburoni lulwalaangwa luli kiriatiariba,walienda israeli wakamuuliza mungu mweza wakaingilia kanaani walioishi kwa mji wa heburoni ulioitwa kuwa kiriathiariba
ebweeneyo baula chikholo wibwaakala bakanaani,huko waliteka mbari wakavamia wakanaani
cha sheshai ahimani ne talimai,ya sheshai ahimani na talimai
we wele omunyali owa bioosi akobosia ali ekholo eya yuda niyo elanyoa eche,mungu mweza wa vyote akajibu kuwa ukoo wa yuda ndio utakaotangulia kwenda
otinieli aula lukoba lwa tebiri nio mbaa sibaba esio sibe mu bunyali  yoshua,othnieli alitwaa mji wa tebiri ndio akatwaa kibaba hicho kiwe cha uwezo
khukhwama ao babaandu ba yuda baboolela babaa bacha khukhwibwaakala lukoba lwa mu ba simioni bali yiicha khuche ne tabiri,kutoka hapo watu wa yuda walioponea walienda kuvamia mji wa wasimioni kuwa njoo twende na tabiri
mu khunyoa lukoba lino lwa tanywe mu maloba niko bakhuele efwe laangwanga luli kiritiseferi,kwa kuanza mji huu wa ulitawanyika kwa ardhi ambayo tumepewa sisi uliitwa kuwa kiriathseferi
ne la mukheyeete khupane ne bakanaani,na mtusaidie tupigane na wakanaani
mulala khu nibo owalaangwanga bali hl ne fwesi khukhache khumuyeete kalebu aloma ali omundu yesi yesi oli hukhupanila kamaloba keenywe,mmoja kwa hao aliyeitwa kuwa hl na sisi tutaenda tumusaidie kalebu alisema kuwa mtu yeyote atakayenipigania ardhi ni yenu
nio bwaakala kiriati seferi mala alubukule chikholo cha simioni ne yuda chacha ndamuelesia omukhana wase akisa wila alala,ndipo wakavamia kiriathsefari kisha akachukua mbari za simioni na yuda zikaenda nitampa msichana wangu akisa urudi pamoja
wele omunyali owa bioosi abe omukhasi wewe,mungu mweza wa vyote awe mke wake
otinieli okhwa la bukili khu bakanaani ne baperii kenasi kenasi aba waandaye owa kalebu mala baula babaandu chielefu likhumi abakula lukoba olwo,othnieli wa ushindi wa wakanaani na waperisi kenasi  kenasi alikuwa ndugu wa kalebu kisha wakateka watu elfu kumi akachukua mji huo
nio ebeseki banyoolayo atonibe aamuelesia omukhana wewe akisa omwami we lukoba mala bapna aba omukhasi wewe,ndipo ebesaki akapata huku atonibe akampa msichana wake akisa mfalme wa nchi kisha wakapigana akawa mke
khu nyanga waye,kwa muda upi
ne abwenao baulila elala bakanaani eye siselelo otinieli aboolela omwami ne baperisi,na huko walitwaa kabisa wakanaani wa posa othnieli akamwambia mfalme na waperisi
atonibeseki elukha ewewe akisa areeba raraawe amue ne bamutimania bamuamba mala kumukuunda,adonibezeki akatoroka kwake akisa akuuliza babake aamue iwapo watamfukuza wakamshika kisha shamba
akisa ekha khukhwama makhala chinjala chikhuumwa che punda mala raraawe kalebu amukhala khu makhono ne khu bikele,akisa akashuka kutoka kukata vidole vizee vya kwa punda kisha babake kalebu akakata kwa mikono na kwa miguu
atonibe reeba nisio wenye,adonibe uliza ambacho unataka
akisa amukoboosia ali paloma bali,akisa akamujibu kuwa walisema kuwa
baabami kamakhumi  nenya chisebele che kameechi sikila alia babakhalwa chinjala chikhuumwa wamba kamaloba kali khusiangalaamwe khumakhono ne chinjala chi sie ebunafubo owa kanaani,wafalme makumi nataka visima vya maji kwa sababu alikula waliokatwa vidole vya kusugua ukanipa mashamba yaliyo kwa tambarare na kwa mikono na vidole vya kwa kaskazini mwa kanaani
nio kalebu khuumwa che khu bikele bangalaanga baelesia akisa chisebele che kameechi che angaaki bitonyi bie biakhulia bibiakwichanga nende che mwaalo,ndipo kalebu akazugua vya kwa miguu wakiokota wakampa akisa visima vya maji ya juu vipande vya vyakula vilivyokuwa vikianguka na za chini
luno wele akholeele niko nabokhelela,leo mungu amenifanyia niliyowafanyia
abukulwa ayilwa bukhili bwe chikholo cha yerusalemu mala afwilayo,alichukuliwa akapelekwa ushindi ni ukoo wa yerusalemu kisha akafia huko
ye yuda ne benjamini,ya yuda na benjamini
be lisaaye lia hobabu omukenayi ekholo eya yuda papa owa omukhasi owa musa bachiila yerusalemu ne heburoni lilila ne lukeendo ne babaandu ba yuda bebwaakala lukoba yuda khukhwama e yeriko lukoba lwa yerusalemu mala balubukula,wa uzao wa yuda wa wakenayi ukoo wa yuda walikuwa wa mke wa musa wakendea yerusalemu na heburoni kilio na mwendo na watu wa yuda wakavamia mji yuda kutoka yeriko mji wa yerusalemu kisha wakauchukua
beera kamakhendu boola mu sichiimi embi abundu bwalo ne khulwosia,wakaua makendu wakafika kwa msitu karibu pahali pale na kuuchoma
enyuma ne arati mu yuda,baada ya arati kwa yuda
